boro_ct2010,Date,Time,Type
1019500,10/16/2017,8:00:00,PropertyCrime
2042300,8/26/2017,0:01:00,PropertyCrime
2025000,12/7/2017,12:00:00,PropertyCrime
3073400,12/11/2017,10:00:00,PropertyCrime
5020804,12/17/2017,12:00:00,PropertyCrime
3023400,9/18/2017,12:00:00,PropertyCrime
1018900,12/4/2017,12:00:00,PropertyCrime
1022800,5/9/2017,12:00:00,PropertyCrime
2012101,3/10/2017,12:00:00,PropertyCrime
1000900,2/8/2017,12:00:00,PropertyCrime
4051200,12/29/2017,16:00:00,PropertyCrime
4019900,10/24/2017,12:00:00,PropertyCrime
3023500,11/17/2017,8:00:00,PropertyCrime
4035100,10/5/2017,15:50:00,PropertyCrime
3026800,12/25/2017,12:00:00,PropertyCrime
4134100,11/3/2017,10:36:00,PropertyCrime
4065703,12/25/2017,12:00:00,PropertyCrime
1009900,4/3/2017,12:00:00,PropertyCrime
4077906,12/17/2017,12:00:00,PropertyCrime
3114400,12/26/2017,12:00:00,PropertyCrime
1005400,10/31/2017,0:00:00,PropertyCrime
4108500,8/28/2017,19:00:00,PropertyCrime
1004900,11/27/2017,18:04:00,PropertyCrime
4008700,7/31/2017,0:01:00,PropertyCrime
1004500,8/31/2017,12:00:00,PropertyCrime
3007600,11/20/2017,12:00:00,PropertyCrime
1015700,8/30/2017,10:00:00,PropertyCrime
1017200,1/26/2017,16:51:00,PropertyCrime
1024200,8/14/2017,0:01:00,PropertyCrime
4122701,10/1/2017,10:00:00,PropertyCrime
4071305,12/9/2017,9:00:00,PropertyCrime
3022700,8/31/2017,15:06:00,PropertyCrime
2048400,10/1/2017,7:00:00,PropertyCrime
3039100,12/25/2017,19:00:00,PropertyCrime
1003001,12/31/2017,1:00:00,PropertyCrime
4055900,12/30/2017,14:00:00,PropertyCrime
1022400,12/30/2017,21:30:00,PropertyCrime
2023702,10/31/2017,8:55:00,PropertyCrime
1009900,6/16/2017,19:05:00,PropertyCrime
2021900,9/1/2017,0:01:00,PropertyCrime
1012700,4/4/2017,23:00:00,PropertyCrime
