OBJECTID,stop_frisk1_XYTableToPoint_S_2,stop_frisk1_XYTableToPoint_S_3,geo_export_267875c8_5ee9_4cb_13
10873,2017-10-05,10:50:00,4008500
10874,2017-10-05,10:50:00,4008500
10875,2017-10-07,2:45:00,4013700
10876,2017-10-07,2:45:00,4013700
10877,2017-10-03,18:50:00,4002500
10878,2017-10-03,18:50:00,4002500
10879,2017-10-10,13:35:00,4016300
10880,2017-10-10,21:45:00,4015700
10881,2017-10-11,0:05:00,4011700
10882,2017-10-11,0:05:00,4011700
10883,2017-10-07,16:00:00,4008700
10884,2017-10-10,13:35:00,4016300
10885,2017-10-10,13:35:00,4016300
10886,2017-10-10,13:35:00,4016300
10887,2017-10-12,20:20:00,4002500
10888,2017-10-13,12:50:00,4008700
10889,2017-10-05,18:10:00,4006501
10890,2017-10-13,22:40:00,4002500
10891,2017-10-13,21:05:00,4002500
10892,2017-10-13,21:05:00,4002500
10893,2017-10-12,21:38:00,4004300
10894,2017-10-14,18:40:00,4002500
10895,2017-10-18,1:50:00,4002500
10896,2017-10-18,1:50:00,4002500
10897,2017-10-09,12:40:00,4017100
10898,2017-10-18,17:55:00,4002500
10899,2017-10-18,17:24:00,4008300
10900,2017-10-18,20:10:00,4002500
10901,2017-10-20,21:25:00,4002500
10902,2017-10-23,11:15:00,4009500
10903,2017-10-26,15:39:00,4014100
10904,2017-10-27,19:13:00,4004700
10905,2017-10-28,20:40:00,4015700
10906,2017-10-28,20:40:00,4015700
10907,2017-10-31,16:34:00,4013700
10908,2017-10-19,4:57:00,4005500
10909,2017-10-19,4:57:00,4005700
10910,2017-10-31,22:22:00,4008700
10911,2017-10-31,22:22:00,4008700
10912,2017-11-03,1:42:00,4006900
10913,2017-11-06,13:30:00,4004700
10914,2017-11-06,13:30:00,4004700
10915,2017-10-28,16:40:00,4007300
10916,2017-11-09,2:23:00,4016100
10917,2017-11-10,14:00:00,4004500
10918,2017-11-10,14:00:00,4004500
10919,2017-11-12,17:30:00,4016300
10920,2017-11-16,0:36:00,4003300
10921,2017-11-15,6:50:00,4002500
10922,2017-11-20,20:50:00,4002500
10923,2017-11-21,11:26:00,4008300
10924,2017-11-22,0:51:00,4008700
10925,2017-11-22,22:09:00,4016100
10926,2017-11-24,18:40:00,4002500
10927,2017-11-30,19:55:00,4014300
10928,2017-12-02,18:54:00,4006900
10929,2017-12-02,4:35:00,4011500
10930,2017-12-04,6:47:00,4003300
10931,2017-11-23,2:00:00,4009100
10932,2017-12-04,17:15:00,4004300
10933,2017-12-10,4:12:00,4002500
10934,2017-12-22,17:45:00,4006900
10935,2017-01-01,4:25:00,4040500
10936,2017-01-01,4:25:00,4040500
10937,2017-01-16,16:42:00,4033900
10938,2017-01-19,18:15:00,4040500
10939,2017-01-28,14:00:00,4027300
10940,2017-02-02,16:15:00,4027700
10941,2017-02-03,1:00:00,4037500
10942,2017-02-03,4:40:00,4026901
10943,2017-02-05,0:00:00,4033100
10944,2017-02-05,5:00:00,4033100
10945,2017-02-05,5:00:00,4033100
10946,2017-02-05,5:00:00,4033100
10947,2017-02-08,1:05:00,4040500
10948,2017-02-15,1:20:00,4033900
10949,2017-02-19,0:55:00,4027300
10950,2017-02-19,0:55:00,4027300
10951,2017-02-19,0:55:00,4027300
10952,2017-02-20,3:23:00,4028300
10953,2017-02-24,3:30:00,4037500
10954,2017-02-27,21:52:00,4036300
