boro_ct2010,Date,Time,Type
5013302,6/24/2017,22:20:00,PersonalCrime
3119800,6/24/2017,19:45:00,PersonalCrime
1020102,6/24/2017,23:00:00,PersonalCrime
2015100,6/24/2017,13:45:00,PersonalCrime
3083000,6/24/2017,22:00:00,PersonalCrime
3023300,6/24/2017,16:00:00,PersonalCrime
3007800,6/24/2017,0:25:00,PersonalCrime
1008900,6/24/2017,2:10:00,PersonalCrime
1019900,6/24/2017,21:25:00,PersonalCrime
3055100,6/24/2017,23:10:00,PersonalCrime
1008700,6/24/2017,23:00:00,PersonalCrime
3082400,6/24/2017,1:00:00,PersonalCrime
4006502,6/24/2017,23:20:00,PersonalCrime
3096400,6/24/2017,10:19:00,PersonalCrime
3033000,6/24/2017,15:00:00,PersonalCrime
1000900,6/24/2017,5:42:00,PersonalCrime
4026400,6/24/2017,17:50:00,PersonalCrime
2015700,6/24/2017,9:10:00,PersonalCrime
4103202,6/24/2017,21:30:00,PersonalCrime
1022600,6/24/2017,23:15:00,PersonalCrime
4099801,6/24/2017,3:25:00,PersonalCrime
2019700,6/24/2017,2:30:00,PersonalCrime
3037300,6/24/2017,23:15:00,PersonalCrime
2038000,6/24/2017,17:20:00,PersonalCrime
2034200,6/24/2017,20:15:00,PersonalCrime
3057600,6/24/2017,0:25:00,PersonalCrime
4054700,6/24/2017,2:00:00,PersonalCrime
4033402,6/24/2017,11:24:00,PersonalCrime
3025700,6/24/2017,22:20:00,PersonalCrime
4103201,6/24/2017,23:40:00,PersonalCrime
2012300,6/24/2017,1:30:00,PersonalCrime
1021500,6/24/2017,20:40:00,PersonalCrime
4027200,6/24/2017,16:28:00,PersonalCrime
3035700,6/24/2017,19:50:00,PersonalCrime
2038700,6/24/2017,17:23:00,PersonalCrime
2006300,6/24/2017,14:09:00,PersonalCrime
4028400,6/24/2017,1:00:00,PersonalCrime
3091600,6/24/2017,2:00:00,PersonalCrime
3035900,6/24/2017,1:30:00,PersonalCrime
1020102,6/24/2017,23:00:00,PersonalCrime
3007200,6/24/2017,11:30:00,PersonalCrime
2000100,6/24/2017,4:10:00,PersonalCrime
2040502,6/24/2017,18:30:00,PersonalCrime
3112600,6/24/2017,20:00:00,PersonalCrime
5013302,6/24/2017,22:20:00,PersonalCrime
4036500,6/24/2017,3:15:00,PersonalCrime
2005300,6/24/2017,1:00:00,PersonalCrime
3028900,6/24/2017,19:24:00,PersonalCrime
3006300,6/24/2017,21:00:00,PersonalCrime
4147100,6/24/2017,23:30:00,PersonalCrime
1020102,6/24/2017,23:00:00,PersonalCrime
1023501,6/24/2017,8:35:00,PersonalCrime
3041900,6/24/2017,5:20:00,PersonalCrime
3022700,6/24/2017,22:00:00,PersonalCrime
4036500,6/24/2017,3:15:00,PersonalCrime
1002800,6/24/2017,1:10:00,PersonalCrime
4101001,6/24/2017,23:00:00,PersonalCrime
3031300,6/24/2017,1:30:00,PersonalCrime
3021900,6/24/2017,21:00:00,PersonalCrime
4039900,6/24/2017,6:35:00,PersonalCrime
2042100,6/24/2017,2:10:00,PersonalCrime
3115000,6/24/2017,19:00:00,PersonalCrime
4037300,6/24/2017,20:30:00,PersonalCrime
1020102,6/24/2017,23:00:00,PersonalCrime
1020102,6/24/2017,23:33:00,PersonalCrime
2005300,6/24/2017,16:35:00,PersonalCrime
4016800,6/24/2017,20:45:00,PersonalCrime
3010400,6/24/2017,13:50:00,PersonalCrime
3012901,6/24/2017,22:20:00,PersonalCrime
3118400,6/24/2017,23:30:00,PersonalCrime
3088800,6/24/2017,7:30:00,PersonalCrime
4019800,6/24/2017,0:40:00,PersonalCrime
5005900,6/24/2017,17:45:00,PersonalCrime
4063800,6/24/2017,10:10:00,PersonalCrime
4047000,6/24/2017,16:20:00,PersonalCrime
1022400,6/24/2017,22:00:00,PersonalCrime
3082400,6/24/2017,14:40:00,PersonalCrime
4100802,6/24/2017,1:30:00,PersonalCrime
2023900,6/24/2017,0:15:00,PersonalCrime
3007100,6/24/2017,0:15:00,PersonalCrime
1021800,6/24/2017,23:30:00,PersonalCrime
2040501,6/24/2017,19:52:00,PersonalCrime
3029200,6/24/2017,4:45:00,PersonalCrime
4086500,6/25/2017,5:30:00,PersonalCrime
3027700,6/25/2017,17:00:00,PersonalCrime
3090600,6/25/2017,17:35:00,PersonalCrime
3037900,6/25/2017,18:00:00,PersonalCrime
2006100,6/25/2017,3:29:00,PersonalCrime
2037400,6/25/2017,11:40:00,PersonalCrime
2033800,6/25/2017,19:00:00,PersonalCrime
3038900,6/25/2017,14:00:00,PersonalCrime
3069000,6/25/2017,11:30:00,PersonalCrime
2015900,6/25/2017,14:00:00,PersonalCrime
3115800,6/25/2017,1:55:00,PersonalCrime
2006100,6/25/2017,3:29:00,PersonalCrime
3037900,6/25/2017,3:00:00,PersonalCrime
3116400,6/25/2017,19:30:00,PersonalCrime
5002100,6/25/2017,1:34:00,PersonalCrime
4023200,6/25/2017,11:19:00,PersonalCrime
2014701,6/25/2017,9:00:00,PersonalCrime
2011900,6/25/2017,1:00:00,PersonalCrime
2042400,6/25/2017,5:00:00,PersonalCrime
5020700,6/25/2017,20:45:00,PersonalCrime
2012300,6/25/2017,4:10:00,PersonalCrime
3115600,6/25/2017,6:30:00,PersonalCrime
2001900,6/25/2017,3:44:00,PersonalCrime
2006100,6/25/2017,3:29:00,PersonalCrime
3118800,6/25/2017,0:00:00,PersonalCrime
3116200,6/25/2017,17:00:00,PersonalCrime
3079602,6/25/2017,3:59:00,PersonalCrime
2012300,6/25/2017,4:10:00,PersonalCrime
4056000,6/25/2017,6:14:00,PersonalCrime
2006200,6/25/2017,21:40:00,PersonalCrime
4087100,6/25/2017,0:10:00,PersonalCrime
2012300,6/25/2017,4:10:00,PersonalCrime
4086500,6/25/2017,0:05:00,PersonalCrime
4015200,6/25/2017,10:30:00,PersonalCrime
