Census_Tracts,Time_Period,total
2004100,midday,25
2004100,morning,19
2004200,evening,40
2004200,latenight,19
2004200,midday,44
2004200,morning,18
2004300,evening,26
2004300,latenight,28
2004300,midday,32
2004300,morning,19
2004400,evening,15
2004400,latenight,11
2004400,midday,13
2004400,morning,5
2004600,evening,25
2004600,latenight,21
2004600,midday,17
2004600,morning,16
2004800,evening,13
2004800,latenight,12
2004800,midday,7
2004800,morning,5
2005001,evening,12
2005001,latenight,8
2005001,midday,15
2005001,morning,5
2005002,evening,10
2005002,latenight,15
2005002,midday,8
2005002,morning,11
2005100,evening,37
2005100,latenight,39
2005100,midday,46
2005100,morning,29
2005200,evening,14
2005200,latenight,17
2005200,midday,8
2005200,morning,9
2005300,evening,12
2005300,latenight,10
2005300,midday,16
2005300,morning,3
2005400,evening,22
2005400,latenight,23
2005400,midday,26
2005400,morning,28
2005600,evening,20
2005600,latenight,10
2005600,midday,13
2005600,morning,6
2005902,evening,12
2005902,latenight,6
2005902,midday,5
2005902,morning,7
2006000,evening,7
2006000,latenight,1
2006000,midday,2
2006000,morning,2
2006100,evening,4
2006100,latenight,6
2006100,midday,9
2006100,morning,5
2006200,evening,34
2006200,latenight,26
2006200,midday,24
2006200,morning,13
2006300,evening,78
2006300,latenight,39
2006300,midday,74
2006300,morning,40
2006400,evening,14
2006400,latenight,8
2006400,midday,11
2006400,morning,6
2006500,evening,135
2006500,latenight,57
2006500,midday,158
2006500,morning,73
2006700,evening,23
2006700,latenight,29
2006700,midday,35
2006700,morning,10
2006800,evening,17
2006800,latenight,18
2006800,midday,6
2006800,morning,5
2006900,evening,29
2006900,latenight,24
2006900,midday,21
2006900,morning,14
2007000,evening,20
2007000,latenight,18
2007000,midday,12
2007000,morning,9
2007100,evening,48
2007100,latenight,23
2007100,midday,38
2007100,morning,23
2007200,evening,13
2007200,latenight,7
2007200,midday,14
2007200,morning,6
2007300,evening,19
2007300,latenight,11
2007300,midday,23
2007300,morning,9
2007400,evening,10
2007400,latenight,13
2007400,midday,9
2007400,morning,5
2007500,evening,39
2007500,latenight,19
2007500,midday,17
2007500,morning,11
2007600,evening,27
2007600,latenight,24
2007600,midday,20
2007600,morning,10
2007700,evening,30
2007700,latenight,16
2007700,midday,20
2007700,morning,13
2007800,evening,13
2007800,latenight,17
2007800,midday,15
2007800,morning,6
2007900,evening,21
2007900,latenight,22
2007900,midday,22
2007900,morning,14
2008300,evening,22
2008300,latenight,20
2008300,midday,14
2008300,morning,6
2008400,evening,4
2008400,latenight,2
2008400,midday,4
2008400,morning,1
2008500,evening,21
2008500,latenight,13
2008500,midday,12
2008500,morning,7
2008600,evening,15
2008600,latenight,9
2008600,midday,7
2008600,morning,4
2008700,evening,22
2008700,latenight,8
2008700,midday,14
2008700,morning,14
2008900,evening,18
2008900,latenight,18
2008900,midday,18
2008900,morning,8
2009000,evening,36
2009000,latenight,15
2009000,midday,32
2009000,morning,12
2009200,evening,12
