Census_Tracts,Time_Period,total
2009300,latenight,59
2009300,midday,67
2009300,morning,47
2009600,evening,15
2009600,latenight,16
2009600,midday,19
2009600,morning,7
2009800,evening,27
2009800,latenight,20
2009800,midday,25
2009800,morning,7
2011000,evening,3
2011000,latenight,1
2011000,midday,2
2011000,morning,1
2011502,evening,41
2011502,latenight,33
2011502,midday,30
2011502,morning,18
2011700,evening,14
2011700,latenight,14
2011700,midday,8
2011700,morning,16
2011800,evening,1
2011800,latenight,5
2011800,midday,4
2011800,morning,4
2011900,evening,43
2011900,latenight,39
2011900,midday,31
2011900,morning,33
2012101,evening,16
2012101,latenight,16
2012101,midday,10
2012101,morning,9
2012102,evening,7
2012102,latenight,5
2012102,midday,8
2012102,morning,4
2012300,evening,28
2012300,latenight,30
2012300,midday,24
2012300,morning,20
2012500,evening,30
2012500,latenight,28
2012500,midday,23
2012500,morning,6
2012701,evening,31
2012701,latenight,12
2012701,midday,37
2012701,morning,13
2012901,evening,43
2012901,latenight,29
2012901,midday,26
2012901,morning,23
2013000,evening,4
2013000,latenight,1
2013000,midday,5
2013000,morning,4
2013100,evening,43
2013100,latenight,33
2013100,midday,32
2013100,morning,21
2013200,evening,12
2013200,latenight,20
2013200,midday,7
2013200,morning,6
2013300,evening,39
2013300,latenight,46
2013300,midday,22
2013300,morning,13
2013500,evening,37
2013500,latenight,15
2013500,midday,20
2013500,morning,9
2013800,evening,4
2013800,latenight,10
2013800,midday,7
2013800,morning,3
2014100,evening,41
2014100,latenight,48
2014100,midday,27
2014100,morning,27
2014300,evening,20
2014300,latenight,10
2014300,midday,18
2014300,morning,15
2014400,evening,30
2014400,latenight,14
2014400,midday,19
2014400,morning,13
2014500,evening,39
2014500,latenight,31
2014500,midday,34
2014500,morning,17
2014701,evening,35
2014701,latenight,32
2014701,midday,13
2014701,morning,14
2014702,evening,22
2014702,latenight,16
2014702,midday,7
2014702,morning,8
2014900,evening,24
2014900,latenight,18
2014900,midday,21
2014900,morning,17
2015100,evening,33
2015100,latenight,29
2015100,midday,27
2015100,morning,23
2015200,evening,5
2015200,latenight,2
2015200,midday,7
2015200,morning,3
2015300,evening,26
2015300,latenight,26
2015300,midday,16
2015300,morning,11
